rnum,rank,rankInten,rankOldAndNew,movieCd,movieNm,openDt,salesAmt,salesShare,salesInten,salesChange,salesAcc,audiCnt,audiInten,audiChange,audiAcc,scrnCnt,showCnt
6,6,-1,OLD,20179462,위대한 쇼맨,2017-12-20,378607600,3.0,136529700,56.4,8441277300,43965,15923,56.8,1031799,353,751
7,7,0,OLD,20176947,원더,2017-12-27,83831368,0.7,34097591,68.6,1082416145,10001,4058,68.3,138131,144,261
8,8,1,OLD,20174965,극장판 포켓몬스터 너로 정했다!,2017-12-21,54769000,0.4,21692100,65.6,3679448600,7139,2909,68.8,491274,159,198
9,9,-1,OLD,20161872,너의 이름은.,2017-01-04,51849300,0.4,5861600,12.7,29761470456,6225,706,12.8,3699217,120,197
10,10,0,OLD,20174846,뽀로로 극장판 공룡섬 대모험,2017-12-07,29661900,0.2,5866400,24.7,6113218000,3725,523,16.3,809202,93,107
1,1,0,OLD,20150976,신과함께-죄와 벌,2017-12-20,4191233200,35.9,-414038062,-9,92571580337,502236,-46101,-8.4,11502259,1258,5464
2,2,0,OLD,20170590,1987,2017-12-27,3539227900,30.3,-132997398,-3.6,32847722932,421153,-15602,-3.6,4089298,1067,4738
3,3,0,OLD,20171909,쥬만지: 새로운 세계,2018-01-03,2144205100,18.4,-127156870,-5.6,7342405650,255402,-13363,-5,894544,791,3162
4,4,0,OLD,20177104,페르디난드,2018-01-03,758165400,6.5,-6955400,-0.9,2625604300,98378,-1827,-1.8,355767,689,1549
5,5,0,OLD,20170402,강철비,2017-12-14,359118000,3.1,-51566600,-12.6,34705414466,43259,-5999,-12.2,4350728,449,914
6,6,0,OLD,20179462,위대한 쇼맨,2017-12-20,345798300,3.0,-32809300,-8.7,8787075600,40085,-3880,-8.8,1071884,352,746
7,7,0,OLD,20176947,원더,2017-12-27,80570100,0.7,-3261268,-3.9,1162986245,9554,-447,-4.5,147685,142,259
8,8,0,OLD,20174965,극장판 포켓몬스터 너로 정했다!,2017-12-21,56346900,0.5,1577900,2.9,3735795500,7256,117,1.6,498530,151,190
9,9,0,OLD,20161872,너의 이름은.,2017-01-04,50288700,0.4,-1560600,-3,29811759156,6018,-207,-3.3,3705235,116,189
10,10,0,OLD,20174846,뽀로로 극장판 공룡섬 대모험,2017-12-07,27623300,0.2,-2038600,-6.9,6140841300,3472,-253,-6.8,812674,89,101
1,1,0,OLD,20170590,1987,2017-12-27,1333191300,35.7,-35222500,-2.6,35549328032,175793,-4177,-2.3,4445061,1052,4598
